DTI PREDICTION SCORES:
Accuracy: 0.8036
F1-Score: 0.5795
ROC-AUC:  0.7983

ADR PREDICTION REGRESSION SCORES:
MSE: 0.0005
MAE: 0.0107
R2: -0.8845

Per-ADR Regression Metrics:
meddra_10000045: MSE=0.0005, MAE=0.0122, R2=-6.7761
meddra_10000050: MSE=0.0002, MAE=0.0090, R2=0.0000
meddra_10000054: MSE=0.0001, MAE=0.0048, R2=0.0000
meddra_10000055: MSE=0.0002, MAE=0.0077, R2=-7.8035
meddra_10000056: MSE=0.0008, MAE=0.0154, R2=0.0000
meddra_10000057: MSE=0.0002, MAE=0.0082, R2=0.0000
meddra_10000059: MSE=0.0005, MAE=0.0146, R2=-0.4930
meddra_10000060: MSE=0.0009, MAE=0.0149, R2=-0.1674
meddra_10000062: MSE=0.0002, MAE=0.0088, R2=0.0000
meddra_10000064: MSE=0.0003, MAE=0.0094, R2=0.0000
meddra_10000065: MSE=0.0003, MAE=0.0106, R2=-11.9010
meddra_10000081: MSE=0.0033, MAE=0.0340, R2=-0.1940
meddra_10000084: MSE=0.0005, MAE=0.0126, R2=-1.1637
meddra_10000085: MSE=0.0003, MAE=0.0113, R2=-8.5521
meddra_10000087: MSE=0.0016, MAE=0.0169, R2=-0.0914
meddra_10000097: MSE=0.0003, MAE=0.0106, R2=-4.5736
meddra_10000125: MSE=0.0009, MAE=0.0161, R2=-0.6125
meddra_10000128: MSE=0.0004, MAE=0.0088, R2=-1.0573
meddra_10000133: MSE=0.0004, MAE=0.0116, R2=-13.0061
meddra_10000134: MSE=0.0002, MAE=0.0090, R2=0.0000
meddra_10000136: MSE=0.0003, MAE=0.0099, R2=-1.4495
meddra_10000147: MSE=0.0005, MAE=0.0125, R2=-2.0643
meddra_10000152: MSE=0.0002, MAE=0.0084, R2=0.0000
meddra_10000164: MSE=0.0002, MAE=0.0082, R2=0.0000
meddra_10000165: MSE=0.0003, MAE=0.0102, R2=0.0000
meddra_10000173: MSE=0.0008, MAE=0.0166, R2=-1.5768
meddra_10000181: MSE=0.0004, MAE=0.0112, R2=0.0000
meddra_10000182: MSE=0.0002, MAE=0.0093, R2=-3.7747
meddra_10000186: MSE=0.0004, MAE=0.0111, R2=-0.4583
meddra_10000188: MSE=0.0002, MAE=0.0084, R2=0.0000
meddra_10000197: MSE=0.0002, MAE=0.0080, R2=0.0000
meddra_10000210: MSE=0.0019, MAE=0.0159, R2=-0.1125
meddra_10000245: MSE=0.0003, MAE=0.0100, R2=0.0000
meddra_10000269: MSE=0.0002, MAE=0.0078, R2=-4.2337
meddra_10000317: MSE=0.0002, MAE=0.0091, R2=0.0000
meddra_10000349: MSE=0.0001, MAE=0.0054, R2=0.0000
meddra_10000359: MSE=0.0005, MAE=0.0144, R2=0.0000
meddra_10000369: MSE=0.0019, MAE=0.0223, R2=-0.3041
meddra_10000375: MSE=0.0002, MAE=0.0074, R2=0.0000
meddra_10000377: MSE=0.0003, MAE=0.0100, R2=0.0000
meddra_10000380: MSE=0.0008, MAE=0.0120, R2=-0.3590
meddra_10000381: MSE=0.0023, MAE=0.0135, R2=-0.1101
meddra_10000385: MSE=0.0003, MAE=0.0079, R2=-0.9169
meddra_10000389: MSE=0.0005, MAE=0.0097, R2=-0.4540
meddra_10000419: MSE=0.0002, MAE=0.0076, R2=0.0000
meddra_10000424: MSE=0.0003, MAE=0.0099, R2=0.0000
meddra_10000441: MSE=0.0002, MAE=0.0098, R2=0.0000
meddra_10000449: MSE=0.0002, MAE=0.0085, R2=0.0000
meddra_10000486: MSE=0.0010, MAE=0.0156, R2=-0.2915
meddra_10000489: MSE=0.0003, MAE=0.0108, R2=0.0000
meddra_10000496: MSE=0.0010, MAE=0.0193, R2=-0.1851
meddra_10000510: MSE=0.0003, MAE=0.0100, R2=0.0000
meddra_10000513: MSE=0.0002, MAE=0.0099, R2=0.0000
meddra_10000517: MSE=0.0003, MAE=0.0104, R2=0.0000
meddra_10000519: MSE=0.0003, MAE=0.0097, R2=0.0000
